id,name,artist_id,artist,playlist_id,playlist,genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,key,mode,time_signature
1i6N76fftMZhijOzFQ5ZtL,Psycho Killer - 2005 Remaster,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,37i9dQZF1DWXRqgorJj26U,Rock Classics,"alternative rock,art punk,dance rock,funk rock,new wave,permanent wave,post-punk,rock,zolo",0.721,0.521,-8.123,0.0613,0.0708,0.00545,0.127,0.942,123.118,261413,2,1,4
6FsQrRpBLgsrFeAeiQqytm,Bang a Gong (Get It On) - 2003 Remaster,3dBVyJ7JuOMt4GE9607Qin,T. Rex,37i9dQZF1DWXRqgorJj26U,Rock Classics,"classic rock,glam rock,protopunk,rock",0.729,0.818,-9.992,0.0732,0.157,0.284,0.195,0.906,125.814,267000,2,1,4
31AOj9sFz2gM0O3hMARRBx,Losing My Religion,4KWTAlx2RvbpseOGMEmROg,R.E.M.,37i9dQZF1DWXRqgorJj26U,Rock Classics,"alternative rock,athens indie,permanent wave,rock",0.666,0.855,-5.051,0.0295,0.179,1.2e-06,0.0987,0.803,125.639,268427,9,0,4
6ORqU0bHbVCRjXm9AjyHyZ,Good Riddance (Time of Your Life),7oPftvlwr6VrsViSDV7fJY,Green Day,37i9dQZF1DWXRqgorJj26U,Rock Classics,"modern rock,permanent wave,punk,rock",0.475,0.432,-7.844,0.0302,0.183,0,0.161,0.648,94.605,153467,7,1,4
0nFKHCf1Ibij8m370l2KlZ,Good Times Roll - 2016 Remaster,6DCIj8jNaNpBz8e5oKFPtp,The Cars,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,hard rock,mellow gold,new romantic,new wave,new wave pop,permanent wave,power pop,rock,singer-songwriter,soft rock,synthpop",0.631,0.689,-8.358,0.0284,0.0731,0.000357,0.102,0.645,107.667,225227,4,1,4
2374M0fQpWi3dLnB54qaLX,Africa,0PFtn5NtBbbUNbU9EAmIWF,TOTO,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,hard rock,mellow gold,rock,soft rock,yacht rock",0.671,0.373,-18.064,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,295893,9,1,4
5e9TFTbltYBg2xThimr0rU,The Chain - 2004 Remaster,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,rock,soft rock,yacht rock",0.545,0.67,-8.81,0.0496,0.009,0.000822,0.0451,0.481,151.553,270213,9,1,4
5EWPGh7jbTNO2wakv8LjUI,Free Bird,4MVyzYMgTwdP7Z49wAZHx0,Lynyrd Skynyrd,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,hard rock,rock,southern rock",0.249,0.834,-8.21,0.0577,0.0738,9.48e-05,0.0924,0.338,118.223,547107,0,1,4
7ACxUo21jtTHzy7ZEV56vU,Crazy Train,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,alternative metal,birmingham metal,classic rock,glam metal,hard rock,metal,nu metal,rock",0.454,0.913,-4.008,0.107,0.408,0.000271,0.248,0.521,137.688,293183,9,1,4
6KTv0Z8BmVqM7DPxbGzpVC,Rock And Roll All Nite,07XSN3sPlIlB2L2XNcTwJw,KISS,37i9dQZF1DWXRqgorJj26U,Rock Classics,"glam rock,hard rock,rock",0.654,0.929,-5.906,0.0998,0.0468,0,0.0539,0.902,144.774,168840,1,1,4
4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2",0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock",0.693,0.394,-15.882,0.0428,0.0782,0.000694,0.247,0.721,104.114,238747,0,1,4
1Y373MqadDRtclJNdnUXVc,Paranoid - 2012 - Remaster,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,alternative metal,birmingham metal,classic rock,hard rock,metal,rock,stoner rock,uk doom metal",0.412,0.658,-12.051,0.0708,4.52e-05,0.000774,0.176,0.454,163.071,168406,4,0,4
3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)",3PhoLpVuITZKcymswpck5b,Elton John,37i9dQZF1DWXRqgorJj26U,Rock Classics,"glam rock,mellow gold,piano rock,rock",0.601,0.532,-9.119,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,281613,10,1,4
3KhF2YiNpJvGpfiCW45R6D,Runnin' with the Devil - 2015 Remaster,2cnMpRsOVqtPMfq7YiFE6K,Van Halen,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,hard rock,rock",0.472,0.9,-6.406,0.0582,0.148,0.000297,0.34,0.42,95.826,214960,8,0,4
1RJeiAIwR9pZBgJA8ndZLL,"Paint It, Black - Mono",22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,british invasion,classic rock,rock",0.505,0.836,-7.384,0.101,0.0103,0.0771,0.295,0.764,159.669,204480,5,0,4
0K6yUnIKNsFtfIpTgGtcHm,Limelight,2Hkut4rAAyrQxRdof7FVJq,Rush,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,canadian metal,classic canadian rock,classic rock,hard rock,progressive rock,rock",0.581,0.854,-8.485,0.0428,0.00197,0.0013,0.111,0.788,131.18,259840,1,0,4
2aSFLiDPreOVP6KHiWk4lF,Under Pressure - Remastered 2011,1dfeR4HaWDbWqFHLkxsg1d,Queen,37i9dQZF1DWXRqgorJj26U,Rock Classics,"classic rock,glam rock,rock",0.663,0.712,-7.268,0.0479,0.524,0,0.0804,0.527,113.439,236520,2,1,4
0NWPxcsf5vdjdiFUI8NgkP,Hey Joe,776Uo845nYHJpNaStv1Ds4,Jimi Hendrix,37i9dQZF1DWXRqgorJj26U,Rock Classics,"acid rock,album rock,classic rock,hard rock,proto-metal,psychedelic rock,rock",0.346,0.768,-5.695,0.0377,0.00603,0.38,0.0244,0.532,169.492,210160,9,1,4
2N2yrmodOnVF10mKvItC9P,Don't Cry (Original),3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,37i9dQZF1DWXRqgorJj26U,Rock Classics,"glam metal,hard rock,rock",0.456,0.59,-8.638,0.0327,0.00182,0.00379,0.104,0.243,124.635,283733,11,1,4
4vO9dmzNRqDhFY3jD1a3P7,Mississippi Queen,7LCp4MN0SOIVWlssid9KyE,Mountain,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,blues rock,classic rock,country rock,electric blues,hard rock,proto-metal,psychedelic rock",0.581,0.624,-8.346,0.0777,0.0987,0,0.0411,0.637,139.714,151293,9,1,4
78lgmZwycJ3nzsdgmPPGNx,Immigrant Song - Remaster,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,hard rock,rock",0.564,0.932,-10.068,0.0554,0.013,0.169,0.349,0.619,112.937,146250,11,1,4
1gcESexgftSuLuML57Y69q,All Right Now,2e53aHBQdCMKWqHDuyJsjC,Free,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,blues rock,british blues,classic rock,country rock,hard rock,progressive rock",0.787,0.472,-12.824,0.0832,0.221,0.000336,0.153,0.824,120.059,330643,2,1,4
0dOg1ySSI7NkpAe89Zo0b9,Born in the U.S.A.,3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,37i9dQZF1DWXRqgorJj26U,Rock Classics,"heartland rock,mellow gold,permanent wave,rock,singer-songwriter",0.398,0.952,-6.042,0.061,0.000373,7.75e-05,0.1,0.584,122.093,278680,4,1,4
1HOMkjp0nHMaTnfAkslCQj,My Sharona,0Nn9YwJzcaeuU1jJL06e3r,The Knack,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,hard rock,heartland rock,mellow gold,new wave,new wave pop,power pop,soft rock",0.586,0.7,-9.558,0.0363,0.0589,0.00125,0.0318,0.897,147.245,295400,0,1,4
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,5NGO30tJxFlKixkPSgXcFE,The Police,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,permanent wave,rock",0.82,0.452,-9.796,0.0348,0.543,0.00294,0.0714,0.74,117.401,253920,1,1,4
5EOoMWIB9iK4ZpcSex9Ec7,Old Time Rock & Roll,485uL27bPomh29R4JmQehQ,Bob Seger,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,country rock,detroit rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock",0.714,0.937,-2.947,0.0399,0.206,0,0.0731,0.964,124.13,194147,6,1,4
4cMHCRLPNoEbpnl2rz6GS9,Back on the Chain Gang - 2007 Remaster,0GByy3DcfbQwDvXGCWmzv9,Pretenders,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,mellow gold,new romantic,new wave,new wave pop,permanent wave,rock,soft rock",0.598,0.901,-6.081,0.0359,0.116,0.0401,0.178,0.814,153.24,231120,2,1,4
